!  ANO-RCC  EMSL  Basis Set Exchange Library   11/15/09 1:09 PM
! Elements                             References
! --------                             ----------
! H He: P.-O. Widmark, P.-Å. Malmqvist, and B. O. Roos, Density-matrix averaged atomic natural orbital (ANO) basis-sets for correlated molecular wave-functions 1: 1st row atoms., Theor. Chim. Acta 77, 291-306 (1990).
! Li Be Na Mg K Ca Rb Sr Cs Ba Fr Ra: O. Roos, V. Veryazov and P.-O. Widmark, Relativistic atomic natural orbital type basis sets for the alkaline and alkaline-earth atoms applied to the ground-state potentials for the corresponding dimers., Theor. Chem. Acc. 111, 345-351 (2003).
! B C N O F Ne Al Si P S Cl Ar Ga Ge As Se Br Kr In Sn Sb Te I Xe Tl Pb Bi Po At Rn: B. O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, Main group atoms and dimers studied with a new relativistic ANO basis set, J. Phys. Chem. A 108, 2851 (2005).
! Sc Ti V Cr Mn Fe Co Ni Cu Zn Y Zr Nb Mo Tc Ru Rh Pd Ag Cd Hf Ta W Re Os Ir Pt Au Hg: . O. Roos, R. Lindh and P.-Å. Malmqvist, V. Veryazov and P.-O. Widmark, New relativistic ANO basis sets for transition metal atoms, J. Phys. Chem. A 109, 6575-6579 (2005).
! Ac Th Pa U Np Pu Am Cm: B.O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, New relativistic ANO basis sets for actinide atoms, Chem. Phys. Letters 409, 295-299 (2005).
! La Ce Pr Nd Pm Sm Eu Gd Tb Dy Ho Er Tm Yb Lu: B. O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, New Relativistic atomic natural orbital basis sets for lanthanide atoms with applications to the Ce diatomic abd LuF3, Phys. Chem. A 112, 11431-11435 (2008).
! 



RADON
S   25
 20      0.3179596800          -0.82395967       
 21      0.1064588500           1.02943398       
 22      0.0425835400           0.08768166       
P   22
  1 21090913.8999999985         0.00000365       
  2 4082174.2100000000          0.00000901       
  3 973721.9970000000           0.00002578       
  4 265310.9810000000           0.00006954       
  5  80164.2905000000           0.00019085       
  6  26485.3572000000           0.00054767       
  7   9521.0695700000           0.00155554       
  8   3709.8692400000           0.00459456       
  9   1553.3422500000           0.01208772       
 10    689.8806210000           0.02900116       
 11    320.9769110000           0.04271566       
 12    154.6719870000           0.01629578       
 13     74.9238811000          -0.14636793       
 14     37.7853013000          -0.16777250       
 15     18.9446130000           0.12702822       
 16      9.3838088100           0.73684370       
 17      4.5945101400          -0.48200265       
 18      2.0994701000          -1.53970028       
 19      0.9422822400           2.52662633       
 20      0.3179596800          -1.69398991       
 21      0.1064588500           0.39241537       
 22      0.0425835400           0.47404428       
P   22
  1 21090913.8999999985        -0.00000400       
  2 4082174.2100000000         -0.00000998       
  3 973721.9970000000          -0.00002802       
  4 265310.9810000000          -0.00007814       
  5  80164.2905000000          -0.00020266       
  6  26485.3572000000          -0.00063418       
  7   9521.0695700000          -0.00158714       
  8   3709.8692400000          -0.00552527       
  9   1553.3422500000          -0.01173618       
 10    689.8806210000          -0.03699270       
 11    320.9769110000          -0.03294933       
 12    154.6719870000          -0.05426286       
 13     74.9238811000           0.26540035       
 14     37.7853013000          -0.03514443       
 15     18.9446130000           0.27013176       
 16      9.3838088100          -1.84375327       
 17      4.5945101400           2.86796246       
 18      2.0994701000          -1.85183748       
 19      0.9422822400           0.11780289       
 20      0.3179596800           1.10762209       
 21      0.1064588500          -1.91772952       
 22      0.0425835400           1.53406859       
P   22
  1 21090913.8999999985         0.00000620       
  2 4082174.2100000000          0.00001540       
  3 973721.9970000000           0.00004358       
